,year,genre,votes
Blood Red Sky,-2021,"
Action, Horror, Thriller            ","21,062"
Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ","17,870"
The Walking Dead,(2010–2022),"
Drama, Horror, Thriller            ","885,805"
Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ","414,849"
Army of Thieves,-2021,"
Action, Crime, Horror            ",
Outer Banks,(2020– ),"
Action, Crime, Drama            ","25,858"
The Last Letter from Your Lover,-2021,"
Drama, Romance            ","5,283"
Dexter,(2006–2013),"
Crime, Drama, Mystery            ","665,387"
Never Have I Ever,(2020– ),"
Comedy            ","34,530"
Virgin River,(2019– ),"
Drama, Romance            ","27,279"
Gunpowder Milkshake,-2021,"
Action, Adventure, Thriller            ","17,989"
Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ","264,222"
Fear Street: 1994,-2021,"
Drama, Horror, Mystery            ","50,148"
Sex/Life,(2021– ),"
Comedy, Drama, Romance            ","12,172"
American Horror Story,(2011– ),"
Drama, Horror, Thriller            ","286,488"
Grey's Anatomy,(2005– ),"
Drama, Romance            ","266,258"
Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ","1,552,311"
The Good Doctor,(2017– ),"
Drama            ","70,871"
Atypical,(2017–2021),"
Comedy, Drama            ","71,544"
Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ","885,856"
Fear Street: 1978,-2021,"
Drama, Horror, Mystery            ","36,634"
Friends,(1994–2004),"
Comedy, Romance            ","880,918"
The Flash,(2014– ),"
Action, Adventure, Drama            ","320,264"
Peaky Blinders,(2013– ),"
Crime, Drama            ","393,414"
He-Man and the Masters of the Universe,(2021– ),"
Animation, Action, Adventure            ",
Chernobyl,-2021,"
Drama, History, Romance            ","4,681"
Vikings,(2013–2020),"
Action, Adventure, Drama            ","459,913"
Better Call Saul,(2015– ),"
Crime, Drama            ","347,857"
Supernatural,(2005–2020),"
Drama, Fantasy, Horror            ","404,273"
The Blacklist,(2013– ),"
Crime, Drama, Mystery            ","213,522"
Fear Street: 1666,-2021,"
Horror, Mystery            ","27,447"
Animal Kingdom,(2016– ),"
Crime, Drama            ","26,926"
Brooklyn Nine-Nine,(2013–2022),"
Comedy, Crime            ","248,583"
NCIS: Naval Criminal Investigative Service,(2003– ),"
Action, Crime, Drama            ","125,619"
Kingdom,(2019– ),"
Action, Drama, History            ","34,906"
Modern Family,(2009–2020),"
Comedy, Drama, Romance            ","378,030"
Titans,(I) (2018– ),"
Action, Adventure, Crime            ","73,656"
The Witcher,(2019– ),"
Action, Adventure, Fantasy            ","336,484"
Downton Abbey,(2010–2015),"
Drama, Romance            ","171,804"
Shingeki no kyojin,(2013–2022),"
Animation, Action, Adventure            ","242,582"
Suits,(2011–2019),"
Comedy, Drama            ","374,263"
La casa de papel,(2017–2021),"
Action, Crime, Mystery            ","341,858"
Schitt's Creek,(2015–2020),"
Comedy            ","90,728"
Outlander,(2014– ),"
Drama, Fantasy, Romance            ","134,991"
The Last Kingdom,(2015– ),"
Action, Drama, History            ","94,650"
Black Mirror,(2011– ),"
Drama, Sci-Fi, Thriller            ","469,407"
Ozark,(2017– ),"
Crime, Drama, Thriller            ","206,090"
The Crown,(2016– ),"
Biography, Drama, History            ","169,517"
Sweet Tooth,(2021– ),"
Action, Adventure, Drama            ","37,142"
Army of the Dead,-2021,"
Action, Crime, Horror            ","132,378"
Fargo,(2014– ),"
Crime, Drama, Thriller            ","341,221"
How I Met Your Mother,(2005–2014),"
Comedy, Romance            ","624,036"
Community,(2009–2015),"
Comedy            ","231,013"
Sons of Anarchy,(2008–2014),"
Crime, Drama, Thriller            ","270,445"
StartUp,(2016–2018),"
Crime, Thriller            ","22,971"
The Vampire Diaries,(2009–2017),"
Drama, Fantasy, Horror            ","293,434"
365 dni,-2020,"
Drama, Romance            ","63,620"
How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ","23,960"
Good Girls,(2018–2021),"
Comedy, Crime, Drama            ","38,618"
13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ","266,386"
The Queen's Gambit,-2020,"
Drama            ","336,801"
Legends of Tomorrow,(2016– ),"
Action, Adventure, Drama            ","95,897"
Star Trek: The Next Generation,(1987–1994),"
Action, Adventure, Mystery            ","106,181"
